type,name,year,cellar,region,country,varieties,eco,rating,stars,opinions,likes,parker,penin,suckling,price,old_price,offer
Vinos rosados y rosé,Emina Rosado,2021,Bodegas Emina,Cigales,España,Tempranillo / Verdejo,,4.0,5,1,1,-1,-1,-1,"5,95 €",,False
Vinos rosados y rosé,Rioja Bordón Rosado,2021,Bodegas Franco Españolas,Rioja,España,Garnacha / Viura,,0.0,5,0,0,-1,-1,-1,"5,25 €",,False
Vinos rosados y rosé,Reciente Rosado,2021,Bodegas Olarra,Rioja,España,Tempranillo,,5.0,5,1,1,-1,-1,-1,"4,90 €",,False
Vinos rosados y rosé,Dorigati Trentino Lagrein Kretzer,2019,Dorigati,Trentino,Italia,Lagrein,,0.0,5,0,0,-1,-1,-1,"12,55 €",,False
Vinos rosados y rosé,Pierre-Bise Cabernet D'Anjou,2020,Château Pierre-Bise,Cabernet d'Anjou,Francia,Cabernet sauvignon,,0.0,5,0,3,-1,-1,-1,"10,45 €",,False
Vinos rosados y rosé,Jaume Le Crétacé Tavel,2021,Vignobles Alain Jaume,Tavel,Francia,Grenache / Syrah / Monastrell,,0.0,5,0,1,-1,-1,-1,"12,80 €",,False
Vinos rosados y rosé,Campillo Rosé,2020,Bodegas Campillo,Rioja,España,Tempranillo,,4.66667,5,3,2,-1,-1,-1,"7,95 €",,False
Vinos rosados y rosé,French Bulldog Rosé,2020,Wines And Brands,Pays d'Oc,Francia,Grenache / Cinsaut,,0.0,5,0,1,-1,-1,-1,"15,35 €",,False
Vinos rosados y rosé,Benanti Etna Rosato,2021,Cantina Benanti,Etna,Italia,Nerello mascalese,,0.0,5,0,3,-1,-1,-1,"16,90 €",,False
Vinos rosados y rosé,Páramos de Nicasia Rosado,2019,Máquina y Tabla,Toro,España,Garnacha / Tinta de Toro / Malvasía,ECO,5.0,5,3,7,-1,-1,-1,"12,50 €",,False
Vinos rosados y rosé,Libalis Rosé,2021,Castillo de Maetierra,Valles de Sadacia,España,Moscatel de grano menudo / Syrah,,4.5,5,2,1,-1,-1,-1,"7,95 €",,False
Vinos rosados y rosé,Clos des Verdots Bergerac Rosé,2020,Clos des Verdots,Bergerac,Francia,Cabernet sauvignon / Merlot / Malbec,,0.0,5,0,1,-1,-1,-1,"9,20 €",,False
Vinos rosados y rosé,Apagallums,2020,Vins i Caves Bolet,Penedès,España,Pinot noir,ECO,4.0,5,1,1,-1,-1,-1,"7,20 €",,False
Vinos rosados y rosé,Baron de Lestac Rosé,2020,Baron de Lestac,Bordeaux Rosé,Francia,Cabernet sauvignon / Merlot / Cabernet franc,,0.0,5,0,0,-1,-1,-1,"6,95 €",,False
Vinos rosados y rosé,Clarete de Bespén,2019,Luis Oliván Vinos y Viñedos,Sin indicación geográfica,España,Alcañon / Moristel,,0.0,5,0,0,-1,-1,-1,"9,57 €","11,25 €",True
Vinos rosados y rosé,Kármán Clarete,2021,Gómez Cruzado,Rioja,España,Garnacha / Viura,,4.0,5,1,1,-1,-1,-1,"6,30 €",,False
Vinos rosados y rosé,Panorámico Clarete,2020,Vinos del Panorámico,Rioja,España,Viura / Garnacha,,0.0,5,0,2,-1,-1,-1,"15,90 €",,False
Vinos rosados y rosé,Alamos Malbec Rosé,2020,Bodega Alamos,Mendoza,Argentina,Malbec,,3.33333,5,3,0,-1,-1,-1,"8,95 €",,False
Vinos rosados y rosé,Nadal Pinot Noir Rosé,2019,Caves Nadal,Penedès,España,Pinot noir,ECO,0.0,5,0,0,-1,-1,-1,"9,60 €",,False
Vinos rosados y rosé,Ercavio Rosado,2020,Bodegas Más Que Vinos,Castilla,España,Tempranillo,,0.0,5,0,0,-1,-1,-1,"6,00 €","7,05 €",True
Vinos rosados y rosé,Aroa Larrosa,2020,Aroa Bodegas,Navarra,España,Garnacha / Tempranillo,ECO,0.0,5,0,1,-1,-1,-1,"7,95 €",,False
Vinos rosados y rosé,Mart,2022,Gramona,Penedès,España,Xarel·lo vermell,ECO,4.33333,5,6,5,-1,-1,-1,"11,40 €",,False
Vinos rosados y rosé,Alútiz Rosado,2018,Bodegas Alútiz,Rioja,España,Viura / Tempranillo,,1.0,5,1,1,-1,-1,-1,"5,55 €",,False
Vinos rosados y rosé,Poesia Rosado,2018,Vins Padró,Catalunya,España,Tempranillo / Merlot,,3.5,5,6,2,-1,-1,-1,"3,15 €",,False
Vinos rosados y rosé,Conde Valdemar Rosado,2020,Bodegas Valdemar,Rioja,España,Garnacha / Tempranillo,,4.0,5,2,0,-1,-1,-1,"5,90 €",,False
Vinos rosados y rosé,Viore Rosado,2020,Bodegas Riojanas,Toro,España,Tinta de Toro / Garnacha,,4.0,5,1,0,-1,-1,-1,"4,50 €",,False
Vinos rosados y rosé,Gran Feudo El Idilio Rosado,2021,Bodegas Gran Feudo,Navarra,España,Tempranillo / Garnacha / Merlot,,4.0,5,1,3,-1,-1,-1,"5,95 €",,False
Vinos rosados y rosé,Lalomba,2021,Bodegas Ramón Bilbao,Rioja,España,Garnacha / Viura,,3.33333,5,3,2,-1,-1,-1,"22,45 €",,False
Vinos rosados y rosé,Luzón Colección Rosado,2021,Bodegas Luzón,Jumilla,España,Monastrell,,5.0,5,1,1,-1,-1,-1,"6,80 €",,False
Vinos rosados y rosé,Larchago Rosado,2020,Bodegas Familia Chávarri,Rioja,España,Tempranillo,,0.0,5,0,1,-1,-1,-1,"8,60 €",,False
Vinos rosados y rosé,Torelló Petjades,2021,Torelló,Penedès,España,Merlot,ECO,5.0,5,2,0,-1,-1,-1,"8,55 €",,False
Vinos rosados y rosé,Suañé Reserva Rosado,2018,Bodega Alonso & Pedrajo,Rioja,España,Viura / Garnacha / Sauvignon blanc,,0.0,5,0,0,94,-1,-1,"26,50 €",,False
Vinos rosados y rosé,Domaine de la Vallongue Les Calans Rosé,2020,Domaine de la Vallongue,Alpilles,Francia,Grenache / Cinsaut / Counoise / Cabernet sauvignon,ECO,0.0,5,0,1,-1,-1,-1,"10,30 €",,False
Vinos rosados y rosé,Barcolobo Lacrimae Rerum,2019,Finca la Rinconada,Castilla y León,España,Tempranillo,,0.0,5,0,1,-1,-1,-1,"12,95 €",,False
